ID,TARGET
2,0.050169203
5,0.048113577
6,0.0035496322
7,0.022317236
9,0.0035496322
11,0.1937302
12,0.010878577
15,0.1386226
16,0.028192017
17,0.02732718
19,0.029081102
21,0.01323039
22,0.030893294
24,0.013977085
27,0.007823273
28,0.012530776
30,0.087872155
33,0.0035726165
35,0.013977085
37,0.026641801
38,0.025896711
40,0.19951591
41,0.017465489
44,0.010707856
46,0.123267345
47,0.013596339
48,0.0035726165
50,0.0035726165
52,0.1913785
53,0.017465489
55,0.03029054
57,0.002413896
58,0.014510704
59,0.017465489
62,0.031924777
63,0.013977085
64,0.028694378
65,0.025509935
67,0.026364328
69,0.051207907
70,0.0035726165
71,0.026926706
72,0.0022470441
73,0.008120602
76,0.004788527
78,0.0040393705
79,0.036520485
81,0.0041027414
85,0.013977085
86,0.0035726165
89,0.03776087
94,0.05302114
96,0.0035726165
97,0.025729736
98,0.004500742
99,0.022317236
100,0.2015599
103,0.17122489
104,0.0035726165
108,0.019705938
110,0.0021423318
112,0.040228892
114,0.017465489
116,0.014419003
117,0.011572436
119,0.015795121
120,0.012133565
121,0.0017210026
123,0.022865552
124,0.03776087
126,0.0021423318
128,0.021725854
129,0.0838275
133,0.03219474
138,0.035168324
147,0.017465489
149,0.017014163
158,0.0035726165
160,0.009862477
164,0.042569336
167,0.04080575
168,0.031846974
174,0.009862477
181,0.029972855
185,0.038828596
187,0.002668378
189,0.015586345
190,0.08262114
194,0.015196618
197,0.03774673
198,0.022317236
201,0.044180784
205,0.013465203
208,0.11360798
211,0.013977085
216,0.065080225
219,0.031727195
223,0.0062618745
224,0.17122489
226,0.017465489
229,0.015017682
230,0.031360418
237,0.030674467
238,0.022317236
240,0.06638379
243,0.003646401
245,0.19641285
246,0.19568405
247,0.0054388344
248,0.0075887996
249,0.0035726165
250,0.19844592
251,0.0021423318
255,0.088869415
256,0.038373586
257,0.088335305
260,0.2015599
261,0.002668378
263,0.17302734
264,0.17122489
267,0.0062483405
268,0.02391886
272,0.011665836
274,0.011132176
